Scrape_Date,Property_Name,Estimated_Value
2026-05-09,Boston Bruins,44
2026-05-09,Buffalo Sabres,31
2026-05-09,Calgary Flames,46
2026-05-09,Chicago Blackhawks,49
2026-05-09,Detroit Red Wings,34
2026-05-09,Edmonton Oilers,37
2026-05-09,Hartford Whalers,31
2026-05-09,Los Angeles Kings,46
2026-05-09,Minnesota North Stars,27
2026-05-09,Montreal Canadiens,39
2026-05-09,New Jersey Devils,32
2026-05-09,New York Islanders,25
2026-05-09,New York Rangers,36
2026-05-09,Philadelphia Flyers,33
2026-05-09,Pittsburgh Penguins,41
2026-05-09,Quebec Nordiques,16
2026-05-09,St. Louis Blues,47
2026-05-09,Toronto Maple Leafs,23
2026-05-09,Vancouver Canucks,28
2026-05-09,Washington Capitals,37
2026-05-09,Winnipeg Jets,26
2026-05-09,Boston Bruins,36
2026-05-09,Buffalo Sabres,31
2026-05-09,Calgary Flames,31
2026-05-09,Chicago Blackhawks,36
